Borough,Neighborhood,ID,Name,Likes,Rating,Tips
Bronx,Woodlawn,4c0448d9310fc9b6bf1dc761,Curry Spot,5,7.9,10
Bronx,Parkchester,4c194631838020a13e78e561,Melanies Roti Bar And Grill,3,6.3,2
Bronx,Spuyten Duyvil,4c04544df423a593ac83d116,Cumin Indian Cuisine,13,5.8,9
Bronx,Concourse,551b7f75498e86c00a0ed2e1,Hungry Bird,8,7.1,3
Bronx,Unionport,4c194631838020a13e78e561,Melanies Roti Bar And Grill,3,6.3,2
Brooklyn,Bay Ridge,4b5a4dc8f964a520a2bb28e3,Taj Mahal,37,7.9,26
Brooklyn,Bay Ridge,545835a1498e820edc6f636f,Bombay Grill,14,7.1,4
Brooklyn,Brighton Beach,4af0d31bf964a5207ddf21e3,Pak Nasheman,9,7.4,4
Brooklyn,Flatbush,52213c4211d295d4c57a607c,Ashoka Grill,8,7.6,14
Brooklyn,Flatbush,564d283d498e6e851df79d87,Great Indian Curry,3,6.1,2
Brooklyn,East Flatbush,512a9ea9e4b004fb8eeb84e5,Silver Krust,13,8.4,3
Brooklyn,Kensington,4db0f4371e729fcc56497f20,Mashallah,20,7.7,7
Brooklyn,Kensington,4b718914f964a520c04b2de3,Madina Restaurant and Sweets,17,6.3,13
Brooklyn,Prospect Heights,592e1dae345cbe0fc77cf6c9,Diwan Grill,19,8.9,8
Brooklyn,Gowanus,52f18573498ec2c34e830ffd,Kanan's Indian Restaurant,24,7.7,8
Brooklyn,Fort Greene,57596dad498e732300496b23,Dosa Royale,78,8.5,24
Brooklyn,Clinton Hill,568d3902498e619efcbc3f58,Spice & Grill,21,7.8,6
Brooklyn,Clinton Hill,57596dad498e732300496b23,Dosa Royale,78,8.5,24
Brooklyn,Prospect Lefferts Gardens,4bb93b70cf2fc9b6fe64a002,Gandhi Fine Indian Cuisine,83,8.7,49
Brooklyn,Ocean Hill,5539753f498edbace4746b67,Tandoori Masala,12,7.8,2
Brooklyn,Ocean Hill,4f6cae2ee4b0d4a5afcef5c0,Delhi Heights,22,8.0,8
Brooklyn,Prospect Park South,519ff6c8498e1300ddcbd45c,Anarkali Indian Cuisine,14,7.6,8
Brooklyn,Prospect Park South,4db0f4371e729fcc56497f20,Mashallah,20,7.7,7
Brooklyn,North Side,5631511b498e3d6d7e0a4df0,Tikka Indian Grill,95,8.5,29
Brooklyn,South Side,5631511b498e3d6d7e0a4df0,Tikka Indian Grill,95,8.5,29
Brooklyn,Fort Hamilton,545835a1498e820edc6f636f,Bombay Grill,14,7.1,4
Manhattan,Washington Heights,4ae7876ef964a5201eac21e3,Kismat Indian Restaurant,46,8.1,25
Manhattan,Hamilton Heights,54c2bd96498eaf5142e3fe92,Clove Indian Restaurant & Bar,33,7.8,17
Manhattan,Hamilton Heights,5914ff32b23dfa207eca38de,Mumbai Masala,14,7.5,7
Manhattan,Manhattanville,529d382a11d2dd5ef107e641,Chapati House - NYC,73,8.0,18
Manhattan,Manhattanville,54c2bd96498eaf5142e3fe92,Clove Indian Restaurant & Bar,33,7.8,17
Manhattan,Central Harlem,56d87f3d498ee215abee5724,Delhi Masala,14,8.2,3
Manhattan,Central Harlem,54c2bd96498eaf5142e3fe92,Clove Indian Restaurant & Bar,33,7.8,17
Manhattan,East Harlem,519fe6f5498e30595d370c44,Bawarchi,9,7.5,4
Manhattan,Yorkville,5272ca4511d22488f6895caf,Drunken Munkey,213,8.6,61
